一,一
乙,乙
二,二
十,十
丁,丁
厂,廠
七,七
卜,蔔
人,人
入,入
八,八
九,九
几,幾
儿,兒
了,了
力,力
乃,乃
刀,刀
又,又
三,三
于,於
干,幹
亏,虧
士,士
工,工
土,土
才,才
寸,寸
下,下
大,大
丈,丈
与,與
万,萬
上,上
小,小
口,口
巾,巾
山,山
千,千
乞,乞
川,川
亿,億
个,個
勺,勺
久,久
凡,凡
及,及
夕,夕
丸,丸
么,麽
广,廣
亡,亡
门,門
义,義
之,之
尸,屍
弓,弓
己,己
已,已
子,子
卫,衛
也,也
女,女
飞,飛
刃,刃
习,習
叉,叉
马,馬
乡,鄉
丰,豐
王,王
井,井
开,開
夫,夫
天,天
无,無
元,元
专,專
云,雲
扎,紮
艺,藝
木,木
五,五
支,支
厅,廳
不,不
太,太
犬,犬
区,區
历,歷
尤,尤
友,友
匹,匹
车,車
巨,巨
牙,牙
屯,屯
比,比
互,互
切,切
瓦,瓦
止,止
少,少
日,日
中,中
冈,岡
贝,貝
内,內
水,水
见,見
午,午
牛,牛
手,手
毛,毛
气,氣
升,升
长,長
仁,仁
什,什
片,片
仆,仆
化,化
仇,仇
币,幣
仍,仍
仅,僅
斤,斤
爪,爪
反,反
介,介
父,父
从,從
今,今
凶,兇
分,分
乏,乏
公,公
仓,倉
月,月
氏,氏
勿,勿
欠,欠
风,風
丹,丹
匀,勻
乌,烏
凤,鳳
勾,勾
文,文
六,六
方,方
火,火
为,為
斗,鬥
忆,憶
订,訂
计,計
户,戶
认,認
心,心
尺,尺
引,引
丑,醜
巴,巴
孔,孔
队,隊
办,辦
以,以
允,允
予,予
劝,勸
双,雙
书,書
幻,幻
玉,玉
刊,刊
示,示
末,末
未,未
击,擊
打,打
巧,巧
正,正
扑,撲
扒,扒
功,功
扔,扔
去,去
甘,甘
世,世
古,古
节,節
本,本
术,術
可,可
丙,丙
左,左
厉,厲
右,右
石,石
布,布
龙,龍
平,平
灭,滅
轧,軋
东,東
卡,卡
北,北
占,占
业,業
旧,舊
帅,帥
归,歸
且,且
旦,旦
目,目
叶,葉
甲,甲
申,申
叮,叮
电,電
号,號
田,田
由,由
史,史
只,只
央,央
兄,兄
叼,叼
叫,叫
另,另
叨,叨
叹,嘆
四,四
生,生
失,失
禾,禾
丘,丘
付,付
仗,仗
代,代
仙,仙
们,們
仪,儀
白,白
仔,仔
他,他
斥,斥
瓜,瓜
乎,乎
丛,叢
令,令
用,用
甩,甩
印,印
乐,樂
句,句
匆,匆
册,冊
犯,犯
外,外
处,處
冬,冬
鸟,鳥
务,務
包,包
饥,饑
主,主
市,市
立,立
闪,閃
兰,蘭
半,半
汁,汁
汇,匯
头,頭
汉,漢
宁,寧
穴,穴
它,它
讨,討
写,寫
让,讓
礼,禮
训,訓
必,必
议,議
讯,訊
记,記
永,永
司,司
尼,尼
民,民
出,出
辽,遼
奶,奶
奴,奴
加,加
召,召
皮,皮
边,邊
发,發
孕,孕
圣,聖
对,對
台,臺
矛,矛
纠,糾
母,母
幼,幼
丝,絲
式,式
刑,刑
动,動
扛,扛
寺,寺
吉,吉
扣,扣
考,考
托,托
老,老
执,執
巩,鞏
圾,圾
扩,擴
扫,掃
地,地
扬,揚
场,場
耳,耳
共,共
芒,芒
亚,亞
芝,芝
朽,朽
朴,樸
机,機
权,權
过,過
臣,臣
再,再
协,協
西,西
压,壓
厌,厭
在,在
有,有
百,百
存,存
而,而
页,頁
匠,匠
夸,誇
夺,奪
灰,灰
达,達
列,列
死,死
成,成
夹,夾
轨,軌
邪,邪
划,劃
迈,邁
毕,畢
至,至
此,此
贞,貞
师,師
尘,塵
尖,尖
劣,劣
光,光
当,當
早,早
吐,吐
吓,嚇
虫,蟲
曲,曲
团,團
同,同
吊,吊
吃,吃
因,因
吸,吸
吗,嗎
屿,嶼
帆,帆
岁,歲
回,回
岂,豈
刚,剛
则,則
肉,肉
网,網
年,年
朱,朱
先,先
丢,丟
舌,舌
竹,竹
迁,遷
乔,喬
伟,偉
传,傳
乒,乒
乓,乓
休,休
伍,伍
伏,伏
优,優
伐,伐
延,延
件,件
任,任
伤,傷
价,價
份,份
华,華
仰,仰
仿,仿
伙,夥
伪,偽
自,自
血,血
向,向
似,似
后,後
行,行
舟,舟
全,全
会,會
杀,殺
合,合
兆,兆
企,企
众,眾
爷,爺
伞,傘
创,創
肌,肌
朵,朵
杂,雜
危,危
旬,旬
旨,旨
负,負
各,各
名,名
多,多
争,爭
色,色
壮,壯
冲,沖
冰,冰
庄,莊
庆,慶
亦,亦
刘,劉
齐,齊
交,交
次,次
衣,衣
产,產
决,決
充,充
妄,妄
闭,閉
问,問
闯,闖
羊,羊
并,並
关,關
米,米
灯,燈
州,州
汗,汗
污,汙
江,江
池,池
汤,湯
忙,忙
兴,興
宇,宇
守,守
宅,宅
字,字
安,安
讲,講
军,軍
许,許
论,論
农,農
讽,諷
设,設
访,訪
寻,尋
那,那
迅,迅
尽,盡
导,導
异,異
孙,孫
阵,陣
阳,陽
收,收
阶,階
阴,陰
防,防
奸,奸
如,如
妇,婦
好,好
她,她
妈,媽
戏,戲
羽,羽
观,觀
欢,歡
买,買
红,紅
纤,纖
级,級
约,約
纪,紀
驰,馳
巡,巡
寿,壽
弄,弄
麦,麥
形,形
进,進
戒,戒
吞,吞
远,遠
违,違
运,運
扶,扶
抚,撫
坛,壇
技,技
坏,壞
扰,擾
拒,拒
找,找
批,批
扯,扯
址,址
走,走
抄,抄
坝,壩
贡,貢
攻,攻
赤,赤
折,折
抓,抓
扮,扮
抢,搶
孝,孝
均,均
抛,拋
投,投
坟,墳
抗,抗
坑,坑
坊,坊
抖,抖
护,護
壳,殼
志,誌
扭,扭
块,塊
声,聲
把,把
报,報
却,卻
劫,劫
芽,芽
花,花
芹,芹
芬,芬
苍,蒼
芳,芳
严,嚴
芦,蘆
劳,勞
克,克
苏,蘇
杆,桿
杠,杠
杜,杜
材,材
村,村
杏,杏
极,極
李,李
杨,楊
求,求
更,更
束,束
豆,豆
两,兩
丽,麗
医,醫
辰,辰
励,勵
否,否
还,還
歼,殲
来,來
连,連
步,步
坚,堅
旱,旱
盯,盯
呈,呈
时,時
吴,吳
助,助
县,縣
里,裏
呆,呆
园,園
旷,曠
围,圍
呀,呀
吨,噸
足,足
邮,郵
男,男
困,困
吵,吵
串,串
员,員
听,聽
吩,吩
吹,吹
呜,嗚
吧,吧
吼,吼
别,別
岗,崗
帐,帳
财,財
针,針
钉,釘
告,告
我,我
乱,亂
利,利
秃,禿
秀,秀
私,私
每,每
兵,兵
估,估
体,體
何,何
但,但
伸,伸
作,作
伯,伯
伶,伶
佣,傭
低,低
你,你
住,住
位,位
伴,伴
身,身
皂,皂
佛,佛
近,近
彻,徹
役,役
返,返
余,余
希,希
坐,坐
谷,谷
妥,妥
含,含
邻,鄰
岔,岔
肝,肝
肚,肚
肠,腸
龟,龜
免,免
狂,狂
犹,猶
角,角
删,刪
条,條
卵,卵
岛,島
迎,迎
饭,飯
饮,飲
系,系
言,言
冻,凍
状,狀
亩,畝
况,況
床,床
库,庫
疗,療
应,應
冷,冷
这,這
序,序
辛,辛
弃,棄
冶,冶
忘,忘
闲,閑
间,間
闷,悶
判,判
灶,竈
灿,燦
弟,弟
汪,汪
沙,沙
汽,汽
沃,沃
泛,泛
沟,溝
没,沒
沈,沈
沉,沈
怀,懷
忧,憂
快,快
完,完
宋,宋
宏,宏
牢,牢
究,究
穷,窮
灾,災
良,良
证,證
启,啟
评,評
补,補
初,初
社,社
识,識
诉,訴
诊,診
词,詞
译,譯
君,君
灵,靈
即,即
层,層
尿,尿
尾,尾
迟,遲
局,局
改,改
张,張
忌,忌
际,際
陆,陸
阿,阿
陈,陳
阻,阻
附,附
妙,妙
妖,妖
妨,妨
努,努
忍,忍
劲,勁
鸡,雞
驱,驅
纯,純
纱,紗
纳,納
纲,綱
驳,駁
纵,縱
纷,紛
纸,紙
纹,紋
纺,紡
驴,驢
纽,紐
奉,奉
玩,玩
环,環
武,武
青,青
责,責
现,現
表,表
规,規
抹,抹
拢,攏
拔,拔
拣,揀
担,擔
坦,坦
押,押
抽,抽
拐,拐
拖,拖
拍,拍
者,者
顶,頂
拆,拆
拥,擁
抵,抵
拘,拘
势,勢
抱,抱
垃,垃
拉,拉
拦,攔
拌,拌
幸,幸
招,招
坡,坡
披,披
拨,撥
择,擇
抬,擡
其,其
取,取
苦,苦
若,若
茂,茂
苹,蘋
苗,苗
英,英
范,範
直,直
茄,茄
茎,莖
茅,茅
林,林
枝,枝
杯,杯
柜,櫃
析,析
板,板
松,松
枪,槍
构,構
杰,傑
述,述
枕,枕
丧,喪
或,或
画,畫
卧,臥
事,事
刺,刺
枣,棗
雨,雨
卖,賣
矿,礦
码,碼
厕,廁
奔,奔
奇,奇
奋,奮
态,態
欧,歐
垄,壟
妻,妻
轰,轟
顷,頃
转,轉
斩,斬
轮,輪
软,軟
到,到
非,非
叔,叔
肯,肯
齿,齒
些,些
虎,虎
虏,虜
肾,腎
贤,賢
尚,尚
旺,旺
具,具
果,果
味,味
昆,昆
国,國
昌,昌
畅,暢
明,明
易,易
昂,昂
典,典
固,固
忠,忠
咐,咐
呼,呼
鸣,鳴
咏,詠
呢,呢
岸,岸
岩,巖
帖,帖
罗,羅
帜,幟
岭,嶺
凯,凱
败,敗
贩,販
购,購
图,圖
钓,釣
制,制
知,知
垂,垂
牧,牧
物,物
乖,乖
刮,刮
秆,稈
和,和
季,季
委,委
佳,佳
侍,侍
供,供
使,使
例,例
版,版
侄,侄
侦,偵
侧,側
凭,憑
侨,僑
佩,佩
货,貨
依,依
的,的
迫,迫
质,質
欣,欣
征,征
往,往
爬,爬
彼,彼
径,徑
所,所
舍,舍
金,金
命,命
斧,斧
爸,爸
采,采
受,受
乳,乳
贪,貪
念,念
贫,貧
肤,膚
肺,肺
肢,肢
肿,腫
胀,脹
朋,朋
股,股
肥,肥
服,服
胁,脅
周,周
